Filing_Jurisdiction,Filing_Year,Spender:id,Spender,Spender_Business_Classification:id,Spender_Business_Classification,Spender_Industry:id,Spender_Industry,Spender_Sector:id,Spender_Sector,Target:id,Target,Type_of_Target,Original_Target:id,Original_Target,Amount,Position:id,Position,Target_Payee:id,Target_Payee,MasterTransactionID,Candidate:id,Candidate,Election_Status,Type_of_Office:id,Type_of_Office,Status_of_Candidate:id,Status_of_Candidate,Incumbency_Status:id,Incumbency_Status
TN,2014,4455,TENNESSEE ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",6689106,"ALEXANDER, DAVID R",Candidate,25486,"ALEXANDER, DAVID",9057.02,3,Support,29311146,ASSOCIATED CAMPAIGN CONSULTING & ELECTION SERVICES,65804689,6689106,"ALEXANDER, DAVID R",Won-General,H,State House/Assembly,1,Won,I,Incumbent
CA,2016,4438,CALIFORNIA ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",210819,"PUGNO, ANDREW (ANDY)",Candidate,8131065,"PUGNO, ANDY",9052.46,4,Oppose,27317382,NO PAYEE IDENTIFIED,144530659,210819,"PUGNO, ANDREW (ANDY)",Lost-Top Two Primary,H,State House/Assembly,2,Lost,O,Open
CA,2016,4438,CALIFORNIA ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",210819,"PUGNO, ANDREW (ANDY)",Candidate,8131065,"PUGNO, ANDY",9052.46,4,Oppose,27317382,NO PAYEE IDENTIFIED,144530662,210819,"PUGNO, ANDREW (ANDY)",Lost-Top Two Primary,H,State House/Assembly,2,Lost,O,Open
TX,2018,4456,TEXAS REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",6681494,"BURKETT, CINDY",Candidate,23910222,"BURKETT, REPRESENTATIVE CINDY",9022.29,3,Support,47802398,ACCESS,174440240,6681494,"BURKETT, CINDY",Lost-Primary,S,State Senate,2,Lost,C,Challenger
WI,2016,18823,PLANNED PARENTHOOD OF WISCONSIN,224,Health care services,67,Health Services,8,Health,13736130,"WRIGHT, MANDY M",Candidate,7880908,"WRIGHT, MANDY",9003.75,3,Support,16869798,CAMPAIGN WORKSHOP INC,148173331,13736130,"WRIGHT, MANDY M",Lost-General,H,State House/Assembly,2,Lost,O,Open
CA,2014,686,COOPERATIVE OF AMERICAN PHYSICIANS,127,"Insurance agencies, brokers & agents",50,Insurance,6,"Finance, Insurance & Real Estate",255857,"SALAS, RUDY",Candidate,7944057,"SALAS, RUDY",9000.9,3,Support,27317382,NO PAYEE IDENTIFIED,76517836,255857,"SALAS, RUDY",Won-General,H,State House/Assembly,1,Won,I,Incumbent
CA,2014,686,COOPERATIVE OF AMERICAN PHYSICIANS,127,"Insurance agencies, brokers & agents",50,Insurance,6,"Finance, Insurance & Real Estate",11022802,"CALDERON, IAN C",Candidate,12505940,"CALDERON, IAN",9000.45,3,Support,27317382,NO PAYEE IDENTIFIED,76517821,11022802,"CALDERON, IAN C",Won-General,H,State House/Assembly,1,Won,I,Incumbent
CA,2014,686,COOPERATIVE OF AMERICAN PHYSICIANS,127,"Insurance agencies, brokers & agents",50,Insurance,6,"Finance, Insurance & Real Estate",11022802,"CALDERON, IAN C",Candidate,12505940,"CALDERON, IAN",9000.45,3,Support,27317382,NO PAYEE IDENTIFIED,76517840,11022802,"CALDERON, IAN C",Won-General,H,State House/Assembly,1,Won,I,Incumbent
CA,2006,720,CREDIT UNION (UNIDENTIFIABLE),117,Credit unions,47,Credit Unions,6,"Finance, Insurance & Real Estate",13008566,"DENHAM, JEFF",Candidate,480802,"DENHAM, JEFF",9000,3,Support,27317382,NO PAYEE IDENTIFIED,53950072,13008566,"DENHAM, JEFF",Won-General,S,State Senate,1,Won,I,Incumbent
CA,2008,686,COOPERATIVE OF AMERICAN PHYSICIANS,127,"Insurance agencies, brokers & agents",50,Insurance,6,"Finance, Insurance & Real Estate",6485739,"TORRES, NORMA J",Candidate,784632,"TORRES, NORMA",9000,3,Support,27317382,NO PAYEE IDENTIFIED,53964731,6485739,"TORRES, NORMA J",Won-General,H,State House/Assembly,1,Won,O,Open
CA,2012,3106,CALIFORNIA APARTMENT ASSOCIATION,136,Building operators & managers,51,Real Estate,6,"Finance, Insurance & Real Estate",11022764,"GRAY, ADAM",Candidate,12808677,ADAM GRAY FOR ASSEMBLY 2012,9000,3,Support,27317382,NO PAYEE IDENTIFIED,54091413,11022764,"GRAY, ADAM",Won-General,H,State House/Assembly,1,Won,O,Open
CA,2012,4438,CALIFORNIA ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",1269359,"MILLER, JEFF",Candidate,78962,"MILLER, JEFF",9000,3,Support,27317382,NO PAYEE IDENTIFIED,54091517,1269359,"MILLER, JEFF",Lost-General,S,State Senate,2,Lost,O,Open
CA,2012,4438,CALIFORNIA ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",1269359,"MILLER, JEFF",Candidate,78962,"MILLER, JEFF",9000,3,Support,27317382,NO PAYEE IDENTIFIED,54091553,1269359,"MILLER, JEFF",Lost-General,S,State Senate,2,Lost,O,Open
CA,2014,686,COOPERATIVE OF AMERICAN PHYSICIANS,127,"Insurance agencies, brokers & agents",50,Insurance,6,"Finance, Insurance & Real Estate",11023315,"LINDER, ERIC",Candidate,652738,"LINDER, ERIC",9000,3,Support,27317382,NO PAYEE IDENTIFIED,76517843,11023315,"LINDER, ERIC",Won-General,H,State House/Assembly,1,Won,I,Incumbent
WA,2010,9414,WASHINGTON ASSOCIATON OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",2821113,"ASAY, KATRINA",Candidate,5875931,"ASAY, KATRINA",9000,3,Support,27334367,GILPIN GROUP,53978362,2821113,"ASAY, KATRINA",Won-General,H,State House/Assembly,1,Won,O,Open
WA,2010,9414,WASHINGTON ASSOCIATON OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",2821113,"ASAY, KATRINA",Candidate,5875931,"ASAY, KATRINA",9000,3,Support,27334367,GILPIN GROUP,53978363,2821113,"ASAY, KATRINA",Won-General,H,State House/Assembly,1,Won,O,Open
WA,2012,9414,WASHINGTON ASSOCIATON OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",2607674,"MAXWELL, MARCIE E",Candidate,5930966,"MAXWELL, MARCIE",9000,3,Support,27334367,GILPIN GROUP,54111600,2607674,"MAXWELL, MARCIE E",Won-General,H,State House/Assembly,1,Won,I,Incumbent
WA,2012,9414,WASHINGTON ASSOCIATON OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",2607674,"MAXWELL, MARCIE E",Candidate,5930966,"MAXWELL, MARCIE",9000,5,Unknown,27334367,GILPIN GROUP,54112157,2607674,"MAXWELL, MARCIE E",Won-General,H,State House/Assembly,1,Won,I,Incumbent
CA,2014,686,COOPERATIVE OF AMERICAN PHYSICIANS,127,"Insurance agencies, brokers & agents",50,Insurance,6,"Finance, Insurance & Real Estate",255857,"SALAS, RUDY",Candidate,7944057,"SALAS, RUDY",8999.1,3,Support,27317382,NO PAYEE IDENTIFIED,76517837,255857,"SALAS, RUDY",Won-General,H,State House/Assembly,1,Won,I,Incumbent
CA,2018,4264,PERSONAL INSURANCE FEDERATION OF CALIFORNIA,127,"Insurance agencies, brokers & agents",50,Insurance,6,"Finance, Insurance & Real Estate",658912,"ENG, MIKE",Candidate,376284,"ENG, MIKE",8988.46,4,Oppose,47189461,MIKE ENG IE 2018-OPPOSE,170290533,658912,"ENG, MIKE",Lost-General,S,State Senate,2,Lost,O,Open
CA,2018,4264,PERSONAL INSURANCE FEDERATION OF CALIFORNIA,127,"Insurance agencies, brokers & agents",50,Insurance,6,"Finance, Insurance & Real Estate",658912,"ENG, MIKE",Candidate,376284,"ENG, MIKE",8988.46,4,Oppose,47189461,MIKE ENG IE 2018-OPPOSE,170290535,658912,"ENG, MIKE",Lost-General,S,State Senate,2,Lost,O,Open
CA,2014,18824,PLANNED PARENTHOOD AFFILIATES OF CALIFORNIA,224,Health care services,67,Health Services,8,Health,11022813,"QUIRK-SILVA, SHARON DARLENE",Candidate,11915667,"QUIRK-SILVA, SHARON",8960.65,3,Support,27317382,NO PAYEE IDENTIFIED,76517278,11022813,"QUIRK-SILVA, SHARON DARLENE",Lost-General,H,State House/Assembly,2,Lost,I,Incumbent
TX,2014,4456,TEXAS REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",6582707,"DEUELL, ROBERT F",Candidate,19834581,SEN. BOB DEUELL,8950,5,Unknown,27322198,SGS,77163330,6582707,"DEUELL, ROBERT F",Lost-Primary Runoff,S,State Senate,2,Lost,I,Incumbent
CA,2016,4438,CALIFORNIA ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",147046,"BERMAN, MARC",Candidate,3988403,"BERMAN, MARC",8937.5,3,Support,27317382,NO PAYEE IDENTIFIED,130251957,147046,"BERMAN, MARC",Won-General,H,State House/Assembly,1,Won,O,Open
CA,2016,3282,CALIFORNIA ASSOCIATION OF PSYCHIATRIC TECHNICIANS,212,Psychiatrists & psychologists,65,Health Professionals,8,Health,39707445,"MEDINA, ABIGAIL",Candidate,22839590,"MEDINA, ABIGAIL",8930.84,3,Support,27317382,NO PAYEE IDENTIFIED,148659836,39707445,"MEDINA, ABIGAIL",Lost-General,H,State House/Assembly,2,Lost,C,Challenger
CA,2008,3468,CALIFORNIA DENTAL ASSOCIATION,215,Dentists,65,Health Professionals,8,Health,1645113,"BENOIT, JOHN J",Candidate,498831,"BENOIT, JOHN J.",8925,3,Support,27317382,NO PAYEE IDENTIFIED,53964389,1645113,"BENOIT, JOHN J",Won-General,S,State Senate,1,Won,O,Open
NC,2012,3838,NORTH CAROLINA HOSPITAL ASSOCIATION,221,Hospitals,66,Hospitals & Nursing Homes,8,Health,13003881,"GOOLSBY, THOMAS COWART",Candidate,3881419,"GOOLSBY, THOMAS",8921,5,Unknown,27335042,RELYUS INC,54117443,13003881,"GOOLSBY, THOMAS COWART",Won-General,S,State Senate,1,Won,I,Incumbent
WA,2008,3474,WASHINGTON STATE DENTAL ASSOCIATION,215,Dentists,65,Health Professionals,8,Health,6600429,"PFLUG, CHERYL A",Candidate,5841517,"PFLUG, CHERYL",8918.58,3,Support,10746847,DMA,53977566,6600429,"PFLUG, CHERYL A",Won-General,S,State Senate,1,Won,I,Incumbent
MN,2014,10243224,HOUSING FIRST MINNESOTA,32,Residential construction,12,Home Builders,2,Construction,16072409,"STOUT, STACEY",Candidate,17022114,"STOUT, STACEY HOUSE DIST. 43A COMMITTEE",8907.15,3,Support,32640184,PERMAFROST PRODUCTIONS,79998976,16072409,"STOUT, STACEY",Lost-General,H,State House/Assembly,2,Lost,C,Challenger
TX,2018,4456,TEXAS REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",11568863,"BOHAC, DWAYNE",Candidate,24633039,"BOHAC, REPRESENTATIVE DWAYNE",8905.28,3,Support,47802398,ACCESS,174440413,11568863,"BOHAC, DWAYNE",Won-General,H,State House/Assembly,1,Won,I,Incumbent
TX,2006,18835,PLANNED PARENTHOOD OF HOUSTON & SOUTHEAST TEXAS,224,Health care services,67,Health Services,8,Health,6469415,"COHEN, ELLEN",Candidate,17014727,"COHEN, MS ELLEN",8903,5,Unknown,11315464,MESSAGE AUDIENCE & PRESENTATION,54010662,6469415,"COHEN, ELLEN",Won-General,H,State House/Assembly,1,Won,C,Challenger
IL,2018,4441,ILLINOIS REALTORS ASSOCIATION,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",13471011,"BREEN, PETER",Candidate,369996,"BREEN, PETER",8900.99,3,Support,43132910,HODAS & ASSOCIATES INC,173706172,13471011,"BREEN, PETER",Lost-General,H,State House/Assembly,2,Lost,I,Incumbent
IL,2018,4441,ILLINOIS REALTORS ASSOCIATION,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",13471011,"BREEN, PETER",Candidate,369996,"BREEN, PETER",8900.99,3,Support,43132910,HODAS & ASSOCIATES INC,173706187,13471011,"BREEN, PETER",Lost-General,H,State House/Assembly,2,Lost,I,Incumbent
IL,2018,4441,ILLINOIS REALTORS ASSOCIATION,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",13471011,"BREEN, PETER",Candidate,369996,"BREEN, PETER",8900.99,3,Support,43132910,HODAS & ASSOCIATES INC,173706202,13471011,"BREEN, PETER",Lost-General,H,State House/Assembly,2,Lost,I,Incumbent
MO,2014,4447,MISSOURI ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",11029611,"MESSENGER, JEFF",Candidate,19130125,"MESSENGER, JEFFREY",8888.25,3,Support,27317382,NO PAYEE IDENTIFIED,67826862,11029611,"MESSENGER, JEFF",Won-General,H,State House/Assembly,1,Won,I,Incumbent
TX,2016,4456,TEXAS REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",37969715,"DOWNING, KEVIN",Candidate,13041625,"DOWNING, MR KEVIN",8880,5,Unknown,27322158,ORRA SGS,137170309,37969715,"DOWNING, KEVIN",Lost-Primary,H,State House/Assembly,2,Lost,O,Open
TX,2016,4456,TEXAS REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",37969715,"DOWNING, KEVIN",Candidate,13041625,"DOWNING, MR KEVIN",8880,5,Unknown,27322158,ORRA SGS,137170305,37969715,"DOWNING, KEVIN",Lost-Primary,H,State House/Assembly,2,Lost,O,Open
MO,2014,7886,MISSOURI HOSPITAL ASSOCIATION,221,Hospitals,66,Hospitals & Nursing Homes,8,Health,6474021,"NEELY, JAMES W (JIM)",Candidate,237937,"NEELY, JAMES",8855,3,Support,27317382,NO PAYEE IDENTIFIED,67827850,6474021,"NEELY, JAMES W (JIM)",Won-General,H,State House/Assembly,1,Won,I,Incumbent
CA,2008,10709,CALIFORNIA ACADEMY OF OPHTHALMOLOGY,213,Optometrists & ophthalmologists,65,Health Professionals,8,Health,13008502,"LLOYD, JUDY",Candidate,637647,"LLOYD, JUDY",8852.26,3,Support,27317382,NO PAYEE IDENTIFIED,53964226,13008502,"LLOYD, JUDY",Lost-Primary,H,State House/Assembly,2,Lost,O,Open
CA,2010,3106,CALIFORNIA APARTMENT ASSOCIATION,136,Building operators & managers,51,Real Estate,6,"Finance, Insurance & Real Estate",622640,"VARGAS, JUAN",Candidate,479566,"VARGAS, JUAN",8848.58,3,Support,27317382,NO PAYEE IDENTIFIED,53972109,622640,"VARGAS, JUAN",Won-General,S,State Senate,1,Won,O,Open
WI,2012,18823,PLANNED PARENTHOOD OF WISCONSIN,224,Health care services,67,Health Services,8,Health,4656950,"WALKER, SCOTT K",Candidate,551648,"WALKER, SCOTT",8842.77,4,Oppose,679261,UNITED STATES POSTAL SERVICE,54103875,4656950,"WALKER, SCOTT K",Won-General,G,Gubernatorial,1,Won,I,Incumbent
WI,2012,18823,PLANNED PARENTHOOD OF WISCONSIN,224,Health care services,67,Health Services,8,Health,11029289,"MITCHELL, MAHLON",Candidate,6165519,"MITCHELL, MAHLON",8842.77,3,Support,679261,UNITED STATES POSTAL SERVICE,54103935,11029289,"MITCHELL, MAHLON",Lost-General,G,Gubernatorial,2,Lost,C,Challenger
WI,2012,18823,PLANNED PARENTHOOD OF WISCONSIN,224,Health care services,67,Health Services,8,Health,3353118,"BARRETT, TOM",Candidate,1402152,"BARRETT, TOM",8842.77,3,Support,679261,UNITED STATES POSTAL SERVICE,54103936,3353118,"BARRETT, TOM",Lost-General,G,Gubernatorial,2,Lost,C,Challenger
WA,2014,281,AVISTA CORP,104,Gas & electric utilities,36,Electric Utilities,5,Energy & Natural Resources,2713552,"SHELDON, TIMOTHY (TIM)",Candidate,5814729,"SHELDON, TIMOTHY",8825.63,3,Support,61356,REVOLVIS CONSULTING INC,80468003,2713552,"SHELDON, TIMOTHY (TIM)",Won-General,S,State Senate,1,Won,I,Incumbent
MN,2014,10243224,HOUSING FIRST MINNESOTA,32,Residential construction,12,Home Builders,2,Construction,6694450,"STENSRUD, KIRK",Candidate,17022169,"STENSRUD, KIRK D HOUSE DIST. 48A COMMITTEE",8820.45,3,Support,32640184,PERMAFROST PRODUCTIONS,79998955,6694450,"STENSRUD, KIRK",Lost-General,H,State House/Assembly,2,Lost,C,Challenger
WA,2016,281,AVISTA CORP,104,Gas & electric utilities,36,Electric Utilities,5,Energy & Natural Resources,2602931,"LITZOW, STEPHEN R",Candidate,5903147,"LITZOW, STEPHEN",8818.08,3,Support,16265950,GRIDIRON COMMUNICATIONS,141917537,2602931,"LITZOW, STEPHEN R",Lost-General,S,State Senate,2,Lost,I,Incumbent
WA,2010,9414,WASHINGTON ASSOCIATON OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",3486574,"TOM, RODNEY",Candidate,5907395,"TOM, RODNEY",8817.45,3,Support,2810373,NORTHWEST PASSAGE CONSULTING,53978382,3486574,"TOM, RODNEY",Won-General,S,State Senate,1,Won,I,Incumbent
CA,2008,18774,CALIFORNIA OPTOMETRIC ASSOCIATION,213,Optometrists & ophthalmologists,65,Health Professionals,8,Health,6673774,"KAMENA, SCOTT",Candidate,454671,"KAMENA, SCOTT",8797.79,3,Support,27317382,NO PAYEE IDENTIFIED,53964889,6673774,"KAMENA, SCOTT",Lost-Primary,H,State House/Assembly,2,Lost,O,Open
CA,2014,686,COOPERATIVE OF AMERICAN PHYSICIANS,127,"Insurance agencies, brokers & agents",50,Insurance,6,"Finance, Insurance & Real Estate",11022372,"BATES, PATRICIA C (PAT)",Candidate,368311,"BATES, PAT",8796,3,Support,27317382,NO PAYEE IDENTIFIED,76517825,11022372,"BATES, PATRICIA C (PAT)",Won-General,S,State Senate,1,Won,O,Open
CA,2018,18824,PLANNED PARENTHOOD AFFILIATES OF CALIFORNIA,224,Health care services,67,Health Services,8,Health,43907525,"SILVER, JOY",Candidate,2767870,"SILVER, JOY",8794,3,Support,47189790,"SILVER, JOY",170291793,43907525,"SILVER, JOY",Lost-General,S,State Senate,2,Lost,C,Challenger
AZ,2014,5798,ARIZONA ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",6690571,"BROPHY MCGEE, CATHERINE",Candidate,19084200,KATE BROPHY MCGEE 2014,8783.7,3,Support,12313121,CONNELL GROUP,67355132,6690571,"BROPHY MCGEE, CATHERINE",Won-General,H,State House/Assembly,1,Won,I,Incumbent
WA,2008,18851,PLANNED PARENTHOOD AFFILIATES OF WA,224,Health care services,67,Health Services,8,Health,6445751,"GREGOIRE, CHRISTINE O",Candidate,2756653,"GREGOIRE, CHRISTINE",8778.59,3,Support,2919070,CAPITOL CITY PRESS,53977469,6445751,"GREGOIRE, CHRISTINE O",Won-General,G,Gubernatorial,1,Won,I,Incumbent
TX,2016,4456,TEXAS REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",17872272,"CYRIER, JOHN",Candidate,23224714,"CYRIER, REPRESENTATIVE JOHN",8775,5,Unknown,27322158,ORRA SGS,137170249,17872272,"CYRIER, JOHN",Default Winner-General,H,State House/Assembly,9,Default Winner,I,Incumbent
ME,2016,26284550,PLANNED PARENTHOOD OF MAINE,224,Health care services,67,Health Services,8,Health,6672631,"THIBODEAU, MICHAEL D",Candidate,6817172,"THIBODEAU, MICHAEL D",8767.23,4,Oppose,4141383,MISSION CONTROL INC,144928843,6672631,"THIBODEAU, MICHAEL D",Won-General,S,State Senate,1,Won,I,Incumbent
KY,2016,1823,NATIONAL ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",6626869,"ROBINSON, ALBERT",Candidate,769535,"ROBINSON, ALBERT",8734.16,3,Support,29311146,ASSOCIATED CAMPAIGN CONSULTING & ELECTION SERVICES,140154529,6626869,"ROBINSON, ALBERT",Won-General,S,State Senate,1,Won,I,Incumbent
KY,2016,1823,NATIONAL ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",6626869,"ROBINSON, ALBERT",Candidate,769535,"ROBINSON, ALBERT",8734.16,3,Support,29311146,ASSOCIATED CAMPAIGN CONSULTING & ELECTION SERVICES,150920364,6626869,"ROBINSON, ALBERT",Won-General,S,State Senate,1,Won,I,Incumbent
WI,2016,18823,PLANNED PARENTHOOD OF WISCONSIN,224,Health care services,67,Health Services,8,Health,3544283,"WHITE, HOWARD DANIEL",Candidate,24089574,"WHITE, HOWARD DANIEL",8722.5,3,Support,16869798,CAMPAIGN WORKSHOP INC,148173330,3544283,"WHITE, HOWARD DANIEL",Lost-General,H,State House/Assembly,2,Lost,C,Challenger
TX,2018,4456,TEXAS REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",13013648,"SELIGER, KEL",Candidate,27704263,"SELIGER, SENATOR KELTON",8720,3,Support,47802398,ACCESS,174440239,13013648,"SELIGER, KEL",Won-General,S,State Senate,1,Won,I,Incumbent
CA,2014,686,COOPERATIVE OF AMERICAN PHYSICIANS,127,"Insurance agencies, brokers & agents",50,Insurance,6,"Finance, Insurance & Real Estate",13008437,"PAN, RICHARD",Candidate,578078,"PAN, RICHARD",8709,3,Support,27317382,NO PAYEE IDENTIFIED,76517824,13008437,"PAN, RICHARD",Won-General,S,State Senate,1,Won,O,Open
WA,2016,9414,WASHINGTON ASSOCIATON OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",40587780,"PAINE, JERRY",Candidate,18878568,"PAINE, GERALD",8703.33,3,Support,43567835,AMPLIFIED STRATEGIES,141917451,40587780,"PAINE, JERRY",Lost-General,H,State House/Assembly,2,Lost,O,Open
WA,2016,9414,WASHINGTON ASSOCIATON OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",40587780,"PAINE, JERRY",Candidate,18878568,"PAINE, GERALD",8703.33,3,Support,43567835,AMPLIFIED STRATEGIES,144625743,40587780,"PAINE, JERRY",Lost-General,H,State House/Assembly,2,Lost,O,Open
WA,2016,9414,WASHINGTON ASSOCIATON OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",40587780,"PAINE, JERRY",Candidate,18878568,"PAINE, GERALD",8703.33,3,Support,43567835,AMPLIFIED STRATEGIES,144625942,40587780,"PAINE, JERRY",Lost-General,H,State House/Assembly,2,Lost,O,Open
ME,2018,1823,NATIONAL ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",26783586,"WOODSOME, DAVID C",Candidate,17655616,"WOODSOME, DAVID C",8700,3,Support,47226080,ACCESS MARKETING SERVICES,173116897,26783586,"WOODSOME, DAVID C",Won-General,S,State Senate,1,Won,I,Incumbent
TX,2016,4456,TEXAS REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",13007038,"MENENDEZ, JOSE ANTONIO",Candidate,23910223,"MENENDEZ, SENATOR JOSE",8700,5,Unknown,27322158,ORRA SGS,137170330,13007038,"MENENDEZ, JOSE ANTONIO",Won-General,S,State Senate,1,Won,I,Incumbent
TX,2016,4456,TEXAS REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",13007038,"MENENDEZ, JOSE ANTONIO",Candidate,23910505,"JOSE, SENATOR MENENDEZ",8700,5,Unknown,27322158,ORRA SGS,137170333,13007038,"MENENDEZ, JOSE ANTONIO",Won-General,S,State Senate,1,Won,I,Incumbent
TX,2016,4456,TEXAS REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",13007038,"MENENDEZ, JOSE ANTONIO",Candidate,23910223,"MENENDEZ, SENATOR JOSE",8700,5,Unknown,27322158,ORRA SGS,137170308,13007038,"MENENDEZ, JOSE ANTONIO",Won-General,S,State Senate,1,Won,I,Incumbent
TX,2016,4456,TEXAS REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",13007038,"MENENDEZ, JOSE ANTONIO",Candidate,23910223,"MENENDEZ, SENATOR JOSE",8700,5,Unknown,27322158,ORRA SGS,137170318,13007038,"MENENDEZ, JOSE ANTONIO",Won-General,S,State Senate,1,Won,I,Incumbent
TX,2016,4456,TEXAS REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",13007038,"MENENDEZ, JOSE ANTONIO",Candidate,23910223,"MENENDEZ, SENATOR JOSE",8700,5,Unknown,27322158,ORRA SGS,137170423,13007038,"MENENDEZ, JOSE ANTONIO",Won-General,S,State Senate,1,Won,I,Incumbent
TX,2016,4456,TEXAS REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",13007038,"MENENDEZ, JOSE ANTONIO",Candidate,23910223,"MENENDEZ, SENATOR JOSE",8700,5,Unknown,27322158,ORRA SGS,137170420,13007038,"MENENDEZ, JOSE ANTONIO",Won-General,S,State Senate,1,Won,I,Incumbent
CA,2008,686,COOPERATIVE OF AMERICAN PHYSICIANS,127,"Insurance agencies, brokers & agents",50,Insurance,6,"Finance, Insurance & Real Estate",2399219,"PAPAN, GINA",Candidate,14303945,"PAPAN, GINA",8695.78,3,Support,27317382,NO PAYEE IDENTIFIED,53964733,2399219,"PAPAN, GINA",Lost-Primary,H,State House/Assembly,2,Lost,O,Open
CA,2008,686,COOPERATIVE OF AMERICAN PHYSICIANS,127,"Insurance agencies, brokers & agents",50,Insurance,6,"Finance, Insurance & Real Estate",2399219,"PAPAN, GINA",Candidate,14303945,"PAPAN, GINA",8695.78,3,Support,27317382,NO PAYEE IDENTIFIED,53964734,2399219,"PAPAN, GINA",Lost-Primary,H,State House/Assembly,2,Lost,O,Open
TX,2018,4456,TEXAS REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",11022511,"RINALDI, MATTHEW D (MATT)",Candidate,23221760,"RINALDI, REPRESENTATIVE MATT",8664.76,3,Support,47802398,ACCESS,174440412,11022511,"RINALDI, MATTHEW D (MATT)",Lost-General,H,State House/Assembly,2,Lost,I,Incumbent
MI,2014,18842,PLANNED PARENTHOOD FEDERATION OF AMERICA,224,Health care services,67,Health Services,8,Health,972455,"SCHAUER, MARK HAMILTON",Candidate,3235150,"SCHAUER, MARK",8664,3,Support,29523538,SQUARE ONE PHONES,126268518,972455,"SCHAUER, MARK HAMILTON",Won-Primary,G,Gubernatorial,1,Won,O,Open
MI,2014,18842,PLANNED PARENTHOOD FEDERATION OF AMERICA,224,Health care services,67,Health Services,8,Health,972455,"SCHAUER, MARK HAMILTON",Candidate,3235150,"SCHAUER, MARK",8664,3,Support,29523538,SQUARE ONE PHONES,126268518,972455,"SCHAUER, MARK HAMILTON & BROWN, LISA",Lost-General,G,Gubernatorial,2,Lost,C,Challenger
WI,2011,18823,PLANNED PARENTHOOD OF WISCONSIN,224,Health care services,67,Health Services,8,Health,2920065,"SHILLING, JENNIFER K",Candidate,3111307,"SHILLING, JENNIFER",8640,3,Support,27326999,VISUALITY,54073694,2920065,"SHILLING, JENNIFER K",Won-General,S,State Senate,1,Won,C,Challenger
WI,2011,18823,PLANNED PARENTHOOD OF WISCONSIN,224,Health care services,67,Health Services,8,Health,13009561,"CLARK, FRED",Candidate,100290,"CLARK, FRED",8640,3,Support,27326999,VISUALITY,54073701,13009561,"CLARK, FRED",Lost-General,S,State Senate,2,Lost,C,Challenger
